城市,方式,楼盘名称,户型,城市地区,区内地段,面积,朝向,标签,价格,楼层类型,楼层数,封面图,品牌,详情链接
佛山,整租,福升花园,1室1厅1卫,禅城,祖庙,60.00㎡,南,精装,1500元/月,低楼层,11层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2079525361900584960.html
佛山,整租,力合阳光城云谷,2室1厅2卫,顺德,大良东区,36.00㎡,东,精装 双卫生间 随时看房,1300元/月,中楼层,25层,"https://image1.ljcdn.com/110000-inspection/pc1_XH0wqRnar.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2079538860055855104.html
佛山,整租,力合阳光城云谷,2室1厅1卫,顺德,大良东区,28.00㎡,东,月租 精装 随时看房,1100元/月,中楼层,25层,"https://image1.ljcdn.com/110000-inspection/pc1_ZRpZpl2oF.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2079542625957838848.html
佛山,整租,绿岛湖,3室2厅1卫,禅城,绿岛湖,95.00㎡,南,随时看房,780元/月,低楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_vJl7wFjky_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072916004152803328.html
佛山,整租,力合阳光城云谷,2室2厅1卫,顺德,大良东区,30.00㎡,东,精装 随时看房,1100元/月,高楼层,26层,"https://image1.ljcdn.com/110000-inspection/pc1_4XD0tsoaL.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072906389499412480.html
佛山,整租,恒业大厦,3室1厅1卫,顺德,容桂,180.00㎡,东南,,1900元/月,低楼层,25层,"https://image1.ljcdn.com/110000-inspection/pc1_nn5I0pC7X.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072906698292461568.html
佛山,整租,卫国路,1室1厅1卫,禅城,祖庙,30.00㎡,南,近地铁 随时看房,600元/月,低楼层,6层,"https://image1.ljcdn.com/110000-inspection/pc1_aGn8HXFi0.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072900999072186368.html
佛山,整租,富弘广场,2室1厅1卫,南海,罗村,60.00㎡,南,随时看房,1000元/月,高楼层,10层,"https://image1.ljcdn.com/110000-inspection/pc1_FnpUY2MKn.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072729212707405824.html
佛山,整租,万科星都荟,1室1厅1卫,顺德,伦教,33.00㎡,南,近地铁 精装 随时看房,900元/月,高楼层,22层,"https://image1.ljcdn.com/110000-inspection/pc1_SNTyoDq5M.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072970754344878080.html
佛山,整租,万科金域学府,3室2厅1卫,顺德,杏坛,81.83㎡,南,精装 随时看房,1900元/月,高楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_jftleogtz.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2072975694169636864.html
佛山,整租,新红棉大厦,1室1厅1卫,顺德,大良中区,45.09㎡,东,近地铁 精装,1400元/月,低楼层,22层,"https://image1.ljcdn.com/110000-inspection/pc1_SCr4S6GXk_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073054536825569280.html
佛山,整租,保利东湾东滨花园,3室2厅2卫,顺德,乐从,123.00㎡,东,近地铁 精装 双卫生间,3300元/月,高楼层,25层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2073043402626170880.html
佛山,整租,凌云巷,3室2厅1卫,高明,荷城旧城区,77.00㎡,南,精装,1280元/月,高楼层,9层,"https://image1.ljcdn.com/110000-inspection/pc1_SYdrUiLt3.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073237123481206784.html
佛山,整租,太平洋鼎旺中心,2室1厅1卫,顺德,陈村,75.98㎡,东,近地铁 精装 随时看房,2000元/月,中楼层,24层,"https://image1.ljcdn.com/110000-inspection/pc1_FSyLzBt5j.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073008513436614656.html
佛山,整租,华侨城蓝楹湾,1室1厅1卫,顺德,大良新区,45.00㎡,南,近地铁 精装,1500元/月,高楼层,17层,"https://image1.ljcdn.com/110000-inspection/pc1_BHtxJJl3d.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073000857489637376.html
佛山,整租,金科博翠天下,3室2厅2卫,顺德,大良东区,115.00㎡,东,近地铁 精装 双卫生间 随时看房,2900元/月,高楼层,32层,"https://image1.ljcdn.com/110000-inspection/pc1_uJKtNjDCQ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073013040919347200.html
佛山,整租,佳兆业E立方,1室1厅1卫,南海,盐步,37.61㎡,南,精装 随时看房,750元/月,低楼层,19层,"https://image1.ljcdn.com/110000-inspection/pc1_ufGKericD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073014758151290880.html
佛山,整租,新风小区,3室2厅1卫,顺德,容桂,110.00㎡,东南,随时看房,900元/月,高楼层,6层,"https://image1.ljcdn.com/110000-inspection/pc1_B7HxNR7Kf.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073243920300507136.html
佛山,整租,力迅城筑,3室2厅1卫,南海,罗村,90.00㎡,南,精装 随时看房,2300元/月,高楼层,15层,"https://image1.ljcdn.com/110000-inspection/pc1_CJ6vXNpVy.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073249073023942656.html
佛山,整租,悦里,3室2厅2卫,顺德,乐从,95.00㎡,南,精装 双卫生间 随时看房,2700元/月,高楼层,44层,"https://image1.ljcdn.com/110000-inspection/pc1_EVzpdRmYq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073247940528308224.html
佛山,整租,美的置业广场(南霞新路),1室1厅1卫,顺德,大良新区,35.00㎡,南,精装,1000元/月,低楼层,22层,"https://image1.ljcdn.com/110000-inspection/pc1_huiTk2jBF.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073333280081444864.html
佛山,整租,佛山澳门城,2室1厅1卫,南海,三山,67.00㎡,南,精装 随时看房,2000元/月,低楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_qy9PsPqWD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/FS2073338548102103040.html
佛山,整租,万科星都荟,1室1厅1卫,顺德,伦教,33.00㎡,南,近地铁 精装 随时看房,1300元/月,低楼层,22层,"https://image1.ljcdn.com/110000-inspection/pc1_Cj8onm36i.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073327115800936448.html
佛山,整租,星星华园国际,4室2厅2卫,禅城,季华,156.00㎡,南,近地铁 精装 双卫生间 随时看房,4800元/月,中楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_aQ2pkNVXO.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073337435562967040.html
佛山,整租,恒大翡翠华庭,3室2厅2卫,南海,狮山,94.00㎡,南,精装 双卫生间 随时看房,1800元/月,中楼层,31层,"https://image1.ljcdn.com/110000-inspection/pc1_b0Jc6iz6W.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073325871795535872.html
佛山,整租,富力西江十号,3室2厅2卫,南海,九江,127.00㎡,南,精装 双卫生间,3000元/月,高楼层,32层,"https://image1.ljcdn.com/110000-inspection/pc1_iEdsVkulm.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073311979618959360.html
佛山,整租,首开平湖如院,4室2厅2卫,顺德,乐从,120.00㎡,南,近地铁 精装 双卫生间 随时看房,3200元/月,高楼层,32层,"https://image1.ljcdn.com/110000-inspection/pc1_gPcJWe9nT.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073299153852563456.html
佛山,整租,保利云上,4室2厅3卫,三水,云东海街道,180.27㎡,东,精装 随时看房,6500元/月,低楼层,2层,"https://image1.ljcdn.com/110000-inspection/pc1_zcW5pdzrs.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073273205488877568.html
佛山,整租,华夏西苑,3室2厅2卫,南海,盐步,131.12㎡,南,双卫生间 随时看房,1800元/月,中楼层,7层,"https://image1.ljcdn.com/110000-inspection/pc1_fCvgKyh3M.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073317561084149760.html
佛山,整租,卓越浅水湾公寓,2室1厅1卫,禅城,湖景,40.00㎡,西,精装,2600元/月,中楼层,33层,"https://image1.ljcdn.com/110000-inspection/pc1_shPjVq4rM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073355236004593664.html
佛山,整租,绿地未来城青年家园,2室1厅1卫,禅城,张槎,41.00㎡,南,精装,1600元/月,中楼层,11层,"https://image1.ljcdn.com/110000-inspection/pc1_qDRqPtCQY.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073391477408399360.html
佛山,整租,保利星座,3室2厅1卫,南海,城市广场,89.00㎡,南,精装,3500元/月,高楼层,11层,"https://image1.ljcdn.com/110000-inspection/pc1_yT5qVN0b7.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073385975437852672.html
佛山,整租,依云上城,3室2厅1卫,禅城,湖景,76.86㎡,南,精装 随时看房,2300元/月,高楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_AoFzs6GWO.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2073383843112419328.html
佛山,整租,新世界名门天下,2室1厅1卫,顺德,大良中区,81.00㎡,东,近地铁 精装,2600元/月,中楼层,29层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2125802012275638272.html
佛山,整租,碧桂园凤凰湾兴涛苑,1室1厅1卫,顺德,容桂,40.00㎡,南,精装 随时看房,950元/月,高楼层,21层,"https://image1.ljcdn.com/110000-inspection/pc1_gFK860ZuX.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125807214420557824.html
佛山,整租,星晖.叠翠新城,,南海,桂城,26.00㎡,南,精装,550元/月,,层,"https://image1.ljcdn.com/110000-inspection/da88c5002aaa0a0c296a6065e46b8deb-041.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125795172800266240.html
佛山,整租,泰丰千玺湾,4室2厅3卫,禅城,湖景,124.00㎡,南,新上 精装,4000元/月,高楼层,48层,"https://image1.ljcdn.com/110000-inspection/484527b3-9a44-413d-8f41-1343b8dbabef_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125805161350692864.html
佛山,整租,中交白兰春晓,3室2厅2卫,禅城,祖庙,86.00㎡,南,精装 双卫生间 随时看房,3000元/月,低楼层,24层,"https://image1.ljcdn.com/110000-inspection/pc1_4nJjQeVuH.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125803692849364992.html
佛山,整租,万科悦都荟,1室1厅1卫,禅城,季华,40.00㎡,北,近地铁 精装 随时看房,1100元/月,中楼层,31层,"https://image1.ljcdn.com/110000-inspection/pc1_FqH7gECZK.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/FS2125812153301598208.html
佛山,整租,长华国际中心,1室1厅1卫,南海,狮山,43.00㎡,南,精装 随时看房,1000元/月,低楼层,28层,"https://image1.ljcdn.com/110000-inspection/pc1_ApAxWGx7V.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125776718324039680.html
佛山,整租,海悦新城,1室1厅1卫,顺德,大良东区,51.00㎡,东,精装,1500元/月,中楼层,18层,"https://image1.ljcdn.com/110000-inspection/pc1_lLyAaQMWZ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125795055137456128.html
佛山,整租,碧桂园凤凰湾翰华苑,3室2厅2卫,顺德,容桂,97.00㎡,南,精装 双卫生间 随时看房,1600元/月,低楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_hLqDhF1sq_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125782929966628864.html
佛山,整租,万科悦都荟,1室1厅1卫,禅城,季华,40.00㎡,南,近地铁 精装 随时看房,1100元/月,中楼层,31层,"https://image1.ljcdn.com/110000-inspection/pc1_Jfnp9kLbf.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/FS2125813537598078976.html
佛山,整租,顺德新能源汽车小镇,2室1厅1卫,顺德,大良东区,37.00㎡,东,近地铁 精装,1400元/月,中楼层,22层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2125811730729664512.html
佛山,整租,新红棉大厦,1室1厅1卫,顺德,大良中区,40.00㎡,东,近地铁 精装,1500元/月,高楼层,22层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2125817135862120448.html
佛山,整租,恒锦新天地公馆,1室1厅1卫,南海,狮山,39.00㎡,南,精装 随时看房,1200元/月,中楼层,24层,"https://image1.ljcdn.com/110000-inspection/pc1_rpb27DRJe.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125816836116185088.html
佛山,整租,融创御府,4室2厅2卫,南海,大沥,138.00㎡,南,精装 双卫生间 随时看房,4200元/月,低楼层,33层,"https://image1.ljcdn.com/110000-inspection/pc1_OHBKs8vlU.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125462970245840896.html
佛山,整租,旭辉公元,1室0厅0卫,禅城,祖庙,36.00㎡,南,,420元/月,,层,"https://image1.ljcdn.com/110000-inspection/pc1_byJ50FBUm.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125463754282893312.html
佛山,整租,柏悦华府,3室2厅2卫,南海,里水,87.00㎡,南,新上 精装 双卫生间,2200元/月,高楼层,29层,"https://image1.ljcdn.com/110000-inspection/pc1_AFCGNP8km.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125472032886882304.html
佛山,整租,保利中悦广场,1室1厅1卫,顺德,大良新区,47.00㎡,西南,精装,1400元/月,低楼层,34层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2125472369601413120.html
佛山,整租,嘉德尚层,1室1厅1卫,顺德,大良东区,42.00㎡,东,精装 随时看房,1500元/月,高楼层,17层,"https://image1.ljcdn.com/110000-inspection/pc1_x5E8shtE2.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125469514039558144.html
佛山,整租,悦里,3室2厅2卫,顺德,乐从,97.00㎡,南,新上 精装 双卫生间,2600元/月,低楼层,43层,"https://image1.ljcdn.com/110000-inspection/pc1_YnGNr1Kit.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125464832932052992.html
佛山,整租,保利上城,3室2厅1卫,顺德,龙江,89.00㎡,南,精装,2000元/月,中楼层,26层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2125479143318487040.html
佛山,整租,时代家,2室1厅1卫,南海,里水,30.00㎡,南,新上 精装,1350元/月,中楼层,20层,"https://image1.ljcdn.com/110000-inspection/pc1_AJrqOO0IX.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125477110897180672.html
佛山,整租,奥园弘阳公园一號,3室2厅2卫,南海,狮山,97.00㎡,南,精装 双卫生间 随时看房,2200元/月,中楼层,26层,"https://image1.ljcdn.com/110000-inspection/pc1_p8YxlSjm1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125483337689595904.html
佛山,整租,深业城,1室1厅1卫,顺德,北滘,38.00㎡,北,近地铁 精装 随时看房,1350元/月,中楼层,30层,"https://image1.ljcdn.com/110000-inspection/pc1_rvG2KEBhq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125486934183641088.html
佛山,整租,兴发大厦,1室1厅1卫,禅城,绿岛湖,45.00㎡,东,近地铁 精装,1200元/月,高楼层,30层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,链家,https://fs.lianjia.com/zufang/FS2125479600199827456.html
佛山,整租,时代天境,1室0厅0卫,南海,金沙洲,12.00㎡,南,,450元/月,,层,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20251211101918d13,,https://fs.lianjia.com/zufang/FS2125472650103881728.html
佛山,整租,恒大御景半岛,4室2厅2卫,南海,金沙洲,185.00㎡,南,精装 双卫生间 随时看房,6000元/月,中楼层,31层,"https://image1.ljcdn.com/110000-inspection/pc1_rDLPBNo9J.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125489457095245824.html
佛山,整租,万科A32,1室1厅1卫,南海,千灯湖,34.00㎡,南,近地铁 精装 随时看房,2000元/月,高楼层,29层,"https://image1.ljcdn.com/110000-inspection/pc1_bQDNfHrk8.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125446797798146048.html
佛山,整租,万科A32,1室1厅1卫,南海,千灯湖,34.00㎡,南,近地铁 精装 随时看房,1950元/月,中楼层,29层,"https://image1.ljcdn.com/110000-inspection/pc1_z4ilZoQhA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125442070465216512.html
佛山,整租,佛山勤天汇公寓,1室1厅1卫,高明,西江新城,31.00㎡,西,精装 随时看房,1150元/月,高楼层,22层,"https://image1.ljcdn.com/110000-inspection/pc1_Ytd68YWaA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125441209068421120.html
佛山,整租,凯德天伦世嘉,1室1厅1卫,禅城,亲仁,37.60㎡,南,,1600元/月,中楼层,15层,"https://image1.ljcdn.com/110000-inspection/pc1_sNdnsIkML.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/FS2125444500389101568.html
佛山,整租,城西花园,2室1厅1卫,白云,金沙洲,29.00㎡,西,近地铁,1700元/月,高楼层,9层,"https://image1.ljcdn.com/110000-inspection/pc1_0jNSpp3iD.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2117197017926074368.html
佛山,独栋,云尚park公寓 顺德店 【免中介费】大良稀缺户型！可做饭电梯房高性价比！,1室2厅2卫,,,45.00㎡,,独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,2100-2300元/月,,层,https://image1.ljcdn.com/wanjia/b0bcb51c8d265b65618aa7e23f5b94f5-1762583430465/2cc1da820abc43110caebb2840d5d8c4.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/100566.html
佛山,整租,金满花园,2室1厅1卫,白云,金沙洲,55.00㎡,东北,近地铁 精装 随时看房,1800元/月,低楼层,2层,"https://image1.ljcdn.com/110000-inspection/pc1_Vqp5K6Yy9.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/GZ2117208921398575104.html
佛山,独栋,云尚park公寓 顺德店 顺德一中陪读/学生合租首选金榜题名双床房学可短租安静,1室1厅1卫,,,25.00㎡,,独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,1388-1588元/月,,层,https://image1.ljcdn.com/wanjia/b0bcb51c8d265b65618aa7e23f5b94f5-1762585843046/573cf96d9e7744efed34dd35c77af08e.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/100566.html
佛山,整租,中海金沙馨园一期,2室1厅1卫,白云,金沙洲,82.00㎡,西南,,3300元/月,中楼层,11层,"https://image1.ljcdn.com/110000-inspection/pc1_CkPNEi06w.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/GZ2116010817030717440.html
佛山,独栋,泰寓 季华路F店 【房东直租】年底活动特价，电梯阳台房 开间,1室0厅1卫,,,22.00㎡,,独栋公寓 月租 近地铁 精装 有阳台 开放厨房 押一付一,1300-1350元/月,,层,https://image1.ljcdn.com/wanjia/a6a2160f50d653c726b928daca02b74b-1706076681759/63faef6d63e20a8c94c190ddfcbc3c4b.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/73305.html
佛山,整租,保利金沙大都汇,1室1厅1卫,白云,金沙洲,30.00㎡,西北,近地铁 精装,2800元/月,中楼层,28层,"https://image1.ljcdn.com/110000-inspection/19e9b534-73fa-456c-9a01-25ac4cbb7e50.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2122768947114672128.html
佛山,独栋,泰寓 季华路A店 可月租 民水电 押一付一 电梯阳台房 开间,1室0厅1卫,,,25.00㎡,,独栋公寓 月租 精装 有阳台 开放厨房 押一付一,1300-1350元/月,,层,https://image1.ljcdn.com/wanjia/a6a2160f50d653c726b928daca02b74b-1714897832533/3d7a19b76330d438c661488fe00865fb.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/73315.html
佛山,整租,城西花园,1室1厅1卫,白云,金沙洲,31.00㎡,西,近地铁 精装,1750元/月,中楼层,7层,"https://image1.ljcdn.com/110000-inspection/pc1_bzalRZz18.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2123261610985259008.html
佛山,独栋,云尚park公寓 顺德店 【超大复式两房】 手慢无！顺德一中地铁站旁，抢占品质生活！,2室2厅2卫,,,80.00㎡,,独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,2900-3200元/月,,层,https://image1.ljcdn.com/wanjia/b0bcb51c8d265b65618aa7e23f5b94f5-1762586802697/2071438d5bafced954852e842faad1b4.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/100566.html
佛山,整租,金域蓝湾,3室2厅1卫,白云,金沙洲,94.00㎡,西南,近地铁 精装 随时看房,4200元/月,中楼层,34层,"https://image1.ljcdn.com/110000-inspection/pc1_6lXVaWbzg_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/GZ2118545076794687488.html
佛山,独栋,云尚park公寓 顺德店 【小区式公寓】可短租！直租无中介 24小时管家精装大单间,1室1厅1卫,,,35.00㎡,,独栋公寓 月租 拎包入住 近地铁 精装 开放厨房 押一付一,1388-1588元/月,,层,https://image1.ljcdn.com/wanjia/b0bcb51c8d265b65618aa7e23f5b94f5-1762587357590/1275c2e9ca0a5624cc01ccb98106826c.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/100566.html
佛山,整租,金域蓝湾,3室2厅2卫,白云,金沙洲,98.00㎡,东南,近地铁 精装 双卫生间,4700元/月,低楼层,34层,"https://image1.ljcdn.com/110000-inspection/4794cbbd-c67a-4c4c-a480-64e8e0570484.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2121910034836226048.html
佛山,独栋,泰寓 季华路F店 特价阳台房 可月租 押一付一民水电 近公交地铁 开间,1室0厅1卫,,,25.00㎡,,独栋公寓 月租 近地铁 精装 有阳台 开放厨房 押一付一,1300-1350元/月,,层,https://image1.ljcdn.com/wanjia/a6a2160f50d653c726b928daca02b74b-1706006301376/be80a65eae4d48af86d0510d233d1481.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/73305.html
佛山,整租,中海金沙馨园二期西区,3室2厅2卫,白云,金沙洲,97.00㎡,西,近地铁 精装 双卫生间,3800元/月,低楼层,18层,"https://image1.ljcdn.com/110000-inspection/pc1_zFsfHNonj_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/GZ2118936643023929344.html
佛山,整租,金满花园,1室1厅1卫,白云,金沙洲,37.00㎡,南,近地铁 精装 随时看房,1000元/月,高楼层,9层,"https://image1.ljcdn.com/110000-inspection/pc1_ntwHsjojJ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/GZ2120138152474574848.html
佛山,整租,城西花园,1室1厅1卫,白云,金沙洲,25.00㎡,西,近地铁 精装 随时看房,1600元/月,低楼层,9层,"https://image1.ljcdn.com/110000-inspection/pc1_XJrhV0lPo.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2120171951732293632.html
佛山,独栋,泰寓 季华路A店 【舒适阳台】安逸电梯特价大单间！万科金融中心旁 开间,1室0厅1卫,,,25.00㎡,,独栋公寓 月租 精装 有阳台 押一付一,1300元/月,,层,https://image1.ljcdn.com/wanjia/a6a2160f50d653c726b928daca02b74b-1733987258678/08f144ff1b7760ff8c706eb74cd264a8.jpg.250x182.jpg,,https://fs.lianjia.com/apartment/73315.html
佛山,整租,金满家园,2室1厅1卫,白云,金沙洲,42.00㎡,东,近地铁 精装 随时看房,2000元/月,高楼层,10层,"https://image1.ljcdn.com/110000-inspection/pc1_4lVuAFHRO.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2120379028027211776.html
佛山,整租,金满花园,2室1厅1卫,白云,金沙洲,58.00㎡,东南,近地铁 精装 随时看房,3000元/月,中楼层,10层,"https://image1.ljcdn.com/110000-inspection/pc1_vKjvBXBgp.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",,https://fs.lianjia.com/zufang/GZ2123692495291285504.html
佛山,整租,保利江岸花园,1室1厅1卫,白云,金沙洲,12.00㎡,南,近地铁 精装,750元/月,,层,"https://image1.ljcdn.com/110000-inspection/cf3cfccd-b443-433e-9426-66e17448dd2b.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",链家,https://fs.lianjia.com/zufang/GZ2116528090518650880.html
佛山,独栋,优家连盟公寓 桂城五福店 一房一厅,1室1厅1卫,,,35.00㎡,,独栋公寓 月租 拎包入住 有阳台 开放厨房,900元/月,,层,https://image1.ljcdn.com/rent-user-avatar/4786e052-cc10-41aa-9e24-7b05d808da7a.250x182.jpg,,https://fs.lianjia.com/apartment/27766.html
